City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,petropavlovsk-kamchatsky,53.0452,158.6483,34.45,95,100,8.95,RU,1713650500
304,georgetown,5.4112,100.3354,84.15,79,20,0.0,MY,1713649881
305,xinmin,41.9908,122.8253,51.1,70,56,5.88,CN,1713650503
306,kone,-21.0595,164.8658,82.94,69,76,6.11,NC,1713650504
307,kattivakkam,13.2167,80.3167,86.11,88,84,10.04,IN,1713650505
308,lake geneva,42.5917,-88.4334,41.95,59,100,10.36,US,1713650327
309,peterhead,57.5058,-1.7981,43.2,67,99,5.21,GB,1713650511
310,saint-philippe,-21.3585,55.7679,76.59,79,100,4.52,RE,1713650514
311,tual,-5.6667,132.75,83.66,78,89,4.83,ID,1713650516
312,hasaki,35.7333,140.8333,61.29,60,73,10.42,JP,1713650518
313,fort bragg,35.139,-79.006,78.48,78,75,4.61,US,1713650520
314,santa marta de tormes,40.9506,-5.6272,57.22,16,0,17.27,ES,1713650521
315,kerikeri,-35.2268,173.9474,62.28,84,62,8.61,NZ,1713650522
316,maintirano,-18.0667,44.0167,79.11,77,46,9.69,MG,1713650526
317,ha'il,27.5219,41.6907,78.82,25,0,2.3,SA,1713650530
318,coquimbo,-29.9533,-71.3436,62.33,82,75,8.05,CL,1713650360
319,rio grande,-32.035,-52.0986,73.51,76,1,8.48,BR,1713650376
320,pakxan,18.3778,103.6601,81.93,44,32,3.42,LA,1713650535
321,pyshma,56.9523,63.2513,59.29,83,67,7.56,RU,1713650536
322,colac,-38.3333,143.5833,51.84,93,39,3.06,AU,1713650538
323,san pedro pochutla,15.7333,-96.4667,89.94,40,6,8.79,MX,1713650539
324,gracemere,-23.4333,150.45,62.51,88,75,5.75,AU,1713650541
325,sars,56.5502,57.1366,55.8,95,100,3.36,RU,1713650542
326,isangel,-19.55,169.2667,78.35,91,99,12.57,VU,1713650543
327,dishna,26.1247,32.476,75.76,23,0,7.0,EG,1713650544
328,kaniv,49.7518,31.46,44.87,93,100,18.86,UA,1713650545
329,itoman,26.1247,127.6694,77.4,100,75,10.36,JP,1713650547
330,i-n-salah,27.1935,2.4607,86.4,12,100,8.41,DZ,1713650548
331,nynashamn,58.9034,17.9479,32.11,66,100,13.22,SE,1713650549
332,kimbe,-5.5502,150.1429,82.08,79,37,1.92,PG,1713650550
333,bijar,35.8668,47.6051,50.36,52,38,5.57,IR,1713650551
334,el calafate,-50.3408,-72.2768,39.83,65,2,9.93,AR,1713650304
335,lashio,22.9333,97.75,65.71,58,0,1.41,MM,1713650556
336,vuktyl,63.8567,57.3094,34.11,92,99,11.01,RU,1713650558
337,keflavik,64.0049,-22.5624,48.11,100,100,32.21,IS,1713650404
338,kudahuvadhoo,2.6708,72.8944,84.88,78,73,12.39,MV,1713650561
339,kismayo,-0.3582,42.5454,82.42,82,95,13.29,SO,1713650562
340,altay,47.8667,88.1167,44.4,53,61,6.64,CN,1713650563
341,pontes e lacerda,-15.2261,-59.3353,78.01,88,87,3.6,BR,1713650302
342,laojunmiao,39.8333,97.7333,48.02,26,0,6.76,CN,1713650566
343,bure,10.7,37.0667,69.69,18,100,10.96,ET,1713650570
344,colonia,50.9333,6.95,44.58,84,100,13.8,DE,1713650277
345,medicine hat,50.0501,-110.6683,51.73,31,0,8.05,CA,1713650401
346,grand falls-windsor,48.9332,-55.6649,42.51,57,96,7.0,CA,1713650573
347,nouadhibou,20.931,-17.0347,66.18,82,77,17.27,MR,1713650575
348,kidal,18.4411,1.4078,92.79,6,99,6.49,ML,1713650576
349,nemuro,43.3236,145.575,37.09,90,100,14.85,JP,1713650577
350,nicoya,10.1483,-85.452,92.7,45,64,8.63,CR,1713650579
351,shimoda,34.6667,138.95,63.1,73,98,3.65,JP,1713650581
352,labytnangi,66.6572,66.4183,9.37,91,100,9.57,RU,1713650583
353,holualoa,19.6228,-155.9522,75.87,82,62,1.01,US,1713650584
354,tralee,52.2704,-9.7026,49.46,86,100,2.95,IE,1713650591
355,sharypovo,55.5403,89.2008,33.26,62,85,7.0,RU,1713650592
